"Department","Total_Absent_People","Total_Absent_Hours","Average_Absent_People","Average_Absent_Hours","Absent_Rate","total_worked","month"
"SA ULTRASOUND","25",192,"1.19","9.14","114%",168,2020-03-01
"SA ULTRASOUND","22",176,"1.05","8.38","105%",168,2020-01-01
"SA ULTRASOUND","23",184,"1.05","8.36","105%",176,2020-04-01
"SA ULTRASOUND","19",152,"1","8","100%",152,2020-02-01
"SA ULTRASOUND","20",160,"1","8","100%",160,2020-05-01
"DENTISTRY","45",359.25,"2.05","16.33","79%",457.6,2020-04-01
"DENTISTRY","35",295,"1.67","14.05","68%",436.8,2020-03-01
"BIOLOGICAL MEDIA SERVICES","51",371.25,"2.32","16.88","53%",704,2020-04-01
"SA INTEGRATIVE MEDICINE","37",295,"1.68","13.41","52%",563.2,2020-04-01
"DENTISTRY","30",233.25,"1.36","10.6","51%",457.6,2020-06-01
"SA ULTRASOUND","10",80,"0.5","4","50%",160,2021-05-01
"B BARN","40",296.75,"1.82","13.49","48%",616,2020-04-01
"SA SX SUPPORT","94",798.25,"4.27","36.28","46%",1742.4,2020-04-01
"DENTISTRY","20",171,"1.05","9","43%",395.2,2020-02-01
"CLIENT SERVICES","404",3160.25,"18.36","143.65","43%",7304,2020-04-01
"DENTISTRY","24",179.25,"1.2","8.96","43%",416,2020-05-01
"DENTISTRY","21",185,"1","8.81","42%",436.8,2020-01-01
"COMMUNITY SURGERY","82",666,"3.73","30.27","42%",1575.2,2020-04-01
"DENTISTRY","22",194,"1","8.82","42%",457.6,2020-07-01
"ORTHOPEDIC SURGERY","90",716.5,"4.09","32.57","41%",1738.88,2020-04-01
"LA FEED & BEDDING","93",643.5,"4.23","29.25","41%",1584,2020-04-01
"CLINICAL LABORATORIES","144",1052.25,"6.55","47.83","40%",2631.2,2020-04-01
"BIOLOGICAL MEDIA SERVICES","34",257,"1.7","12.85","40%",640,2020-12-01
"COMMUNITY SURGERY","68",581.25,"3.24","27.68","39%",1503.6,2020-03-01
"PERSONNEL/PAYROLL","20",160,"1.05","8.42","38%",418,2022-11-01
"CENTRAL SERVICE","83",600,"3.77","27.27","36%",1689.6,2020-04-01
"FINANCIAL SERVICES","29",231.75,"1.45","11.59","36%",640,2022-07-01
"PERSONNEL/PAYROLL","20",160,"0.95","7.62","35%",462,2022-10-01
"ANESTHESIA","160",1287.5,"7.27","58.52","34%",3836.8,2020-04-01
"NEURO","79",688.75,"3.59","31.31","33%",2112,2020-04-01
"FINANCIAL SERVICES","28",224,"1.33","10.67","33%",672,2022-10-01
"B BARN","24",187.5,"1.14","8.93","32%",588,2020-03-01
"FINANCIAL SERVICES","29",232,"1.26","10.09","32%",736,2022-08-01
"DERMATOLOGY","13",104,"0.62","4.95","31%",336,2020-09-01
"COMMUNITY SURGERY","52",426.5,"2.6","21.32","30%",1432,2020-05-01
"FINANCIAL SERVICES","26",204.25,"1.24","9.73","30%",672,2022-09-01
"B BARN","23",181.5,"1.05","8.25","29%",616,2020-06-01
"OPHTHALMOLOGY","30",238,"1.5","11.9","29%",832,2022-07-01
"FINANCIAL SERVICES","23",177.25,"1.21","9.33","29%",608,2022-11-01
"DERMATOLOGY","17",97.5,"0.77","4.43","28%",352,2020-04-01
"COMP AVIAN","41",328,"2.05","16.4","28%",1184,2021-12-01
"SA INTEGRATIVE MEDICINE","20",146.25,"0.95","6.96","27%",537.6,2020-03-01
"LA FEED & BEDDING","58",394.5,"2.9","19.73","27%",1440,2020-05-01
"BIOLOGICAL MEDIA SERVICES","26",181.5,"1.24","8.64","27%",672,2020-08-01
"ORTHOPEDIC SURGERY","51",449.75,"2.43","21.42","27%",1659.84,2021-06-01
"SA COMMUNITY SERVICE","43",318.25,"1.95","14.47","26%",1232,2020-04-01
"SMALL ANIMAL PATIENT CARE","283",2047.25,"12.86","93.06","26%",8016.8,2020-04-01
"LA FEED & BEDDING","51",409,"2.32","18.59","26%",1584,2020-07-01
"OPHTHALMOLOGY","24",224,"1.14","10.67","26%",873.6,2021-07-01
"SA CARDIOLOGY","27",182.5,"1.23","8.3","25%",721.6,2020-04-01
"OPHTHALMOLOGY","31",228.25,"1.41","10.38","25%",915.2,2020-04-01
"RADIOLOGY","113",829.25,"5.14","37.69","25%",3361.6,2020-04-01
"FINANCIAL SERVICES","21",168,"1","8","25%",672,2022-05-01
"PERSONNEL/PAYROLL","14",124,"0.61","5.39","25%",506,2022-08-01
"COMMUNITY SURGERY","44",335.75,"2.32","17.67","25%",1360.4,2022-11-01
"BIOLOGICAL MEDIA SERVICES","21",158,"1","7.52","24%",672,2020-03-01
