"","all_absent_rate","p","ab_rate"
"1",0.0585653501282981,1,5.86
"2",0.0587973692618286,2,5.88
"3",0.0821738626538103,3,8.22
"4",0.118869232394092,4,11.89
"5",0.115654123906632,5,11.57
"6",0.110398313252277,6,11.04
"7",0.107705856827463,7,10.77
"8",0.104260875083541,8,10.43
"9",0.0999401046523718,9,9.99
"10",0.0977997783673351,10,9.78
"11",0.0959596492029769,11,9.6
"12",0.0951919992770305,12,9.52
"13",0.0927498274379903,13,9.27
"14",0.0908093745199842,14,9.08
"15",0.0891288312136747,15,8.91
"16",0.0878552929330158,16,8.79
"17",0.0871963647889753,17,8.72
"18",0.0866344635081986,18,8.66
"19",0.0863706931586147,19,8.64
"20",0.0857846752653011,20,8.58
"21",0.0853280789988512,21,8.53
"22",0.0847505914408684,22,8.48
"23",0.0836754317410271,23,8.37
"24",0.0833373024742334,24,8.33
