"","Day","Type","Value"
"1","Monday","EMERGENCY",0
"2","Monday","FMLA",2
"3","Monday","LEAVE",4
"4","Monday","SICK",3
"5","Monday","VACATION",3
"6","Tuesday","EMERGENCY",0
"7","Tuesday","FMLA",2
"8","Tuesday","LEAVE",6
"9","Tuesday","SICK",5
"10","Tuesday","VACATION",1
"11","Wednesday","EMERGENCY",1
"12","Wednesday","FMLA",0
"13","Wednesday","LEAVE",6
"14","Wednesday","SICK",2
"15","Wednesday","VACATION",1
"16","Thursday","EMERGENCY",0
"17","Thursday","FMLA",2
"18","Thursday","LEAVE",6
"19","Thursday","SICK",3
"20","Thursday","VACATION",5
"21","Friday","EMERGENCY",0
"22","Friday","FMLA",1
"23","Friday","LEAVE",6
"24","Friday","SICK",3
"25","Friday","VACATION",12
