"","Department","Absent_Rate","month"
"1","SA ULTRASOUND","114%",2020-03-01
"2","SA ULTRASOUND","105%",2020-04-01
"3","SA ULTRASOUND","104%",2020-01-01
"4","SA ULTRASOUND","100%",2020-02-01
"5","SA ULTRASOUND","95%",2020-05-01
"6","DENTISTRY","79%",2020-04-01
"7","DENTISTRY","68%",2020-03-01
"8","BIOLOGICAL MEDIA SERVICES","53%",2020-04-01
"9","SA INTEGRATIVE MEDICINE","52%",2020-04-01
"10","DENTISTRY","51%",2020-06-01
"11","SA ULTRASOUND","50%",2021-05-01
"12","B BARN","48%",2020-04-01
"13","SA SX SUPPORT","46%",2020-04-01
"14","DENTISTRY","44%",2020-07-01
"15","DENTISTRY","43%",2020-02-01
"16","CLIENT SERVICES","43%",2020-04-01
"17","COMMUNITY SURGERY","42%",2020-04-01
"18","DENTISTRY","41%",2020-01-01
"19","ORTHOPEDIC SURGERY","41%",2020-04-01
"20","LA FEED & BEDDING","41%",2020-04-01
"21","DENTISTRY","41%",2020-05-01
"22","CLINICAL LABORATORIES","40%",2020-04-01
"23","BIOLOGICAL MEDIA SERVICES","40%",2020-12-01
"24","COMMUNITY SURGERY","37%",2020-03-01
"25","CENTRAL SERVICE","36%",2020-04-01
"26","ANESTHESIA","34%",2020-04-01
"27","NEURO","33%",2020-04-01
"28","B BARN","30%",2020-03-01
"29","DERMATOLOGY","30%",2020-09-01
"30","COMMUNITY SURGERY","29%",2020-05-01
"31","B BARN","29%",2020-06-01
"32","DERMATOLOGY","28%",2020-04-01
"33","COMP AVIAN","28%",2021-12-01
"34","BIOLOGICAL MEDIA SERVICES","27%",2020-08-01
"35","ORTHOPEDIC SURGERY","27%",2021-06-01
"36","SA INTEGRATIVE MEDICINE","26%",2020-03-01
"37","SA COMMUNITY SERVICE","26%",2020-04-01
"38","SMALL ANIMAL PATIENT CARE","26%",2020-04-01
"39","LA FEED & BEDDING","26%",2020-05-01
"40","OPHTHALMOLOGY","26%",2021-07-01
"41","SA CARDIOLOGY","25%",2020-04-01
"42","OPHTHALMOLOGY","25%",2020-04-01
"43","RADIOLOGY","25%",2020-04-01
"44","LA FEED & BEDDING","25%",2020-07-01
"45","ONCOLOGIES","24%",2020-04-01
"46","PERSONNEL/PAYROLL","24%",2020-12-01
"47","PERSONNEL/PAYROLL","24%",2021-12-01
"48","ORTHOPEDIC SURGERY","23%",2020-03-01
"49","LAM - EQUINE","23%",2020-04-01
"50","CLINICAL LABORATORIES","23%",2020-05-01
"51","BEHAVIOR","23%",2020-07-01
"52","DERMATOLOGY","23%",2021-04-01
"53","COMP AVIAN","23%",2021-09-01
"54","BIOLOGICAL MEDIA SERVICES","22%",2020-03-01
"55","BIOLOGICAL MEDIA SERVICES","22%",2020-06-01
"56","COMMUNITY SURGERY","22%",2020-07-01
"57","COMMUNITY SURGERY","22%",2021-05-01
"58","CLINICAL LABORATORIES","22%",2021-10-01
"59","CLIENT SERVICES","21%",2020-03-01
"60","DERMATOLOGY","21%",2020-03-01
"61","SA MEDICINE","21%",2020-04-01
"62","BIOLOGICAL MEDIA SERVICES","21%",2020-05-01
"63","BIOLOGICAL MEDIA SERVICES","21%",2021-01-01
"64","LA FEED & BEDDING","21%",2021-04-01
"65","ADMINISTRATION OVERHEAD","21%",2021-05-01
"66","OPHTHALMOLOGY","21%",2021-08-01
"67","PHARMACY","21%",2021-08-01
"68","LA FEED & BEDDING","20%",2020-03-01
"69","LA FEED & BEDDING","20%",2020-06-01
"70","PERSONNEL/PAYROLL","20%",2020-07-01
"71","SA INTEGRATIVE MEDICINE","20%",2020-08-01
"72","SA INTEGRATIVE MEDICINE","20%",2020-10-01
"73","SA SX SUPPORT","20%",2021-04-01
"74","SA CARDIOLOGY","20%",2021-05-01
"75","SA SX SUPPORT","19%",2020-03-01
"76","RADIOLOGY","19%",2020-03-01
"77","PHARMACY","19%",2020-04-01
"78","NEURO","19%",2020-05-01
"79","LA FEED & BEDDING","19%",2020-08-01
"80","BIOLOGICAL MEDIA SERVICES","19%",2020-09-01
"81","FINANCIAL SERVICES","19%",2020-12-01
"82","LA FEED & BEDDING","19%",2021-03-01
"83","CENTRAL SERVICE","19%",2021-06-01
"84","CLINICAL LABORATORIES","19%",2021-07-01
"85","SMALL ANIMAL PATIENT CARE","18%",2020-03-01
"86","LIVESTOCK","18%",2020-04-01
"87","CLIENT SERVICES","18%",2020-05-01
"88","CLIENT SERVICES","18%",2020-06-01
"89","SA ULTRASOUND","18%",2020-09-01
"90","COMMUNITY SURGERY","18%",2020-10-01
"91","SA ULTRASOUND","18%",2020-10-01
"92","CLIENT SERVICES","18%",2020-10-01
"93","SA ULTRASOUND","18%",2020-12-01
"94","CENTRAL SERVICE","18%",2020-12-01
"95","CLIENT SERVICES","18%",2020-12-01
"96","CENTRAL SERVICE","18%",2021-05-01
"97","DENTISTRY","18%",2021-06-01
"98","CLINICAL LABORATORIES","18%",2021-08-01
"99","CLINICAL LABORATORIES","18%",2021-12-01
"100","NEURO","17%",2020-03-01
"101","OPHTHALMOLOGY","17%",2020-03-01
"102","ANESTHESIA","17%",2020-03-01
"103","CLINICAL LABORATORIES","17%",2020-03-01
"104","SA INTEGRATIVE MEDICINE","17%",2020-07-01
"105","CLINICAL LABORATORIES","17%",2020-07-01
"106","SA ULTRASOUND","17%",2020-07-01
"107","CLIENT SERVICES","17%",2020-08-01
"108","BIOLOGICAL MEDIA SERVICES","17%",2020-10-01
"109","SA SX SUPPORT","17%",2021-05-01
"110","LA FEED & BEDDING","17%",2021-05-01
"111","ORTHOPEDIC SURGERY","17%",2021-07-01
"112","RADIOLOGY","17%",2021-10-01
"113","SA CARDIOLOGY","16%",2020-03-01
"114","SA ICU","16%",2020-04-01
"115","PATHOLOGY","16%",2020-04-01
"116","SA ULTRASOUND","16%",2020-06-01
"117","SA MEDICINE","16%",2020-07-01
"118","COMMUNITY SURGERY","16%",2020-09-01
"119","SA CARDIOLOGY","16%",2020-12-01
"120","NEURO","16%",2020-12-01
"121","ORTHOPEDIC SURGERY","16%",2020-12-01
"122","ANESTHESIA","16%",2020-12-01
"123","CLIENT SERVICES","16%",2021-01-01
"124","COMMUNITY SURGERY","16%",2021-04-01
"125","SA SX SUPPORT","16%",2021-06-01
"126","CENTRAL SERVICE","16%",2021-07-01
"127","COMP AVIAN","16%",2021-08-01
"128","RADIOLOGY","16%",2021-09-01
"129","LA FEED & BEDDING","15%",2020-02-01
"130","COMP AVIAN","15%",2020-04-01
"131","CENTRAL SERVICE","15%",2020-05-01
"132","ANESTHESIA","15%",2020-07-01
"133","CLIENT SERVICES","15%",2020-07-01
"134","SA CARDIOLOGY","15%",2020-08-01
"135","ANESTHESIA","15%",2020-10-01
"136","COMMUNITY SURGERY","15%",2020-11-01
"137","BEHAVIOR","15%",2020-12-01
"138","LA FEED & BEDDING","15%",2020-12-01
"139","LA FEED & BEDDING","15%",2021-01-01
"140","COMMUNITY SURGERY","15%",2021-06-01
"141","ADMINISTRATION OVERHEAD","15%",2021-06-01
"142","ORTHOPEDIC SURGERY","15%",2021-08-01
"143","ORTHOPEDIC SURGERY","15%",2021-09-01
"144","LA FEED & BEDDING","15%",2021-09-01
"145","CLINICAL LABORATORIES","15%",2021-09-01
"146","COMP AVIAN","15%",2021-10-01
"147","LA FEED & BEDDING","15%",2021-11-01
"148","CLINICAL LABORATORIES","15%",2021-11-01
"149","NEURO","15%",2021-12-01
"150","SA MEDICINE","14%",2020-05-01
"151","ANESTHESIA","14%",2020-05-01
"152","SA SX SUPPORT","14%",2020-05-01
"153","COMMUNITY SURGERY","14%",2020-06-01
"154","PHARMACY","14%",2020-07-01
"155","SMALL ANIMAL PATIENT CARE","14%",2020-08-01
"156","CLINICAL LABORATORIES","14%",2020-08-01
"157","SA INTEGRATIVE MEDICINE","14%",2020-09-01
"158","CLIENT SERVICES","14%",2020-11-01
"159","CLIENT SERVICES","14%",2021-02-01
"160","SA SX SUPPORT","14%",2021-03-01
"161","CLIENT SERVICES","14%",2021-03-01
"162","DERMATOLOGY","14%",2021-03-01
"163","BIOLOGICAL MEDIA SERVICES","14%",2021-04-01
"164","PERSONNEL/PAYROLL","14%",2021-05-01
"165","ANESTHESIA","14%",2021-07-01
"166","COMMUNITY SURGERY","14%",2021-08-01
"167","SMALL ANIMAL PATIENT CARE","14%",2021-09-01
"168","DERMATOLOGY","14%",2021-09-01
"169","ANESTHESIA","14%",2021-10-01
"170","SA MEDICINE","14%",2021-12-01
"171","LA FEED & BEDDING","14%",2021-12-01
"172","CLINICAL LABORATORIES","13%",2020-01-01
"173","ORTHOPEDIC SURGERY","13%",2020-02-01
"174","LIVESTOCK","13%",2020-03-01
"175","LAM - EQUINE","13%",2020-03-01
"176","CENTRAL SERVICE","13%",2020-03-01
"177","SA CARDIOLOGY","13%",2020-05-01
"178","SA COMMUNITY SERVICE","13%",2020-05-01
"179","ORTHOPEDIC SURGERY","13%",2020-05-01
"180","NEURO","13%",2020-06-01
"181","SMALL ANIMAL PATIENT CARE","13%",2020-06-01
"182","CLINICAL LABORATORIES","13%",2020-06-01
"183","PHARMACY","13%",2020-06-01
"184","SMALL ANIMAL PATIENT CARE","13%",2020-07-01
"185","NEURO","13%",2020-08-01
"186","COMMUNITY SURGERY","13%",2020-08-01
"187","SA SX SUPPORT","13%",2020-08-01
"188","SMALL ANIMAL PATIENT CARE","13%",2020-10-01
"189","CLINICAL LABORATORIES","13%",2020-10-01
"190","ANESTHESIA","13%",2020-11-01
"191","LA FEED & BEDDING","13%",2020-11-01
"192","ORTHOPEDIC SURGERY","13%",2021-05-01
"193","LIVESTOCK","13%",2021-06-01
"194","SMALL ANIMAL PATIENT CARE","13%",2021-06-01
"195","CLINICAL LABORATORIES","13%",2021-06-01
"196","PERSONNEL/PAYROLL","13%",2021-07-01
"197","SA SX SUPPORT","13%",2021-08-01
"198","FINANCIAL SERVICES","13%",2021-08-01
"199","ORTHOPEDIC SURGERY","13%",2021-10-01
"200","SMALL ANIMAL PATIENT CARE","13%",2021-10-01
"201","LIVESTOCK","13%",2021-11-01
"202","OPHTHALMOLOGY","13%",2021-11-01
"203","ANESTHESIA","13%",2021-12-01
"204","ORTHOPEDIC SURGERY","12%",2020-01-01
"205","SA SURGERY","12%",2020-04-01
"206","ADMINISTRATION OVERHEAD","12%",2020-04-01
"207","SMALL ANIMAL PATIENT CARE","12%",2020-05-01
"208","COMP AVIAN","12%",2020-06-01
"209","ONCOLOGIES","12%",2020-07-01
"210","ORTHOPEDIC SURGERY","12%",2020-07-01
"211","ADMINISTRATION OVERHEAD","12%",2020-07-01
"212","SA MEDICINE","12%",2020-08-01
"213","SA ULTRASOUND","12%",2020-08-01
"214","CLIENT SERVICES","12%",2020-09-01
"215","BIOLOGICAL MEDIA SERVICES","12%",2020-11-01
"216","SMALL ANIMAL PATIENT CARE","12%",2020-11-01
"217","CLINICAL LABORATORIES","12%",2020-11-01
"218","CENTRAL SERVICE","12%",2020-11-01
"219","DENTISTRY","12%",2020-12-01
"220","COMMUNITY SURGERY","12%",2020-12-01
"221","ADMINISTRATION OVERHEAD","12%",2020-12-01
"222","SA SX SUPPORT","12%",2021-02-01
"223","CLINICAL LABORATORIES","12%",2021-02-01
"224","SA ICU","12%",2021-03-01
"225","ANESTHESIA","12%",2021-03-01
"226","SA CARDIOLOGY","12%",2021-04-01
"227","NEURO","12%",2021-04-01
"228","CENTRAL SERVICE","12%",2021-04-01
"229","SA ICU","12%",2021-06-01
"230","LIVESTOCK","12%",2021-07-01
"231","SMALL ANIMAL PATIENT CARE","12%",2021-07-01
"232","LA FEED & BEDDING","12%",2021-07-01
"233","RADIOLOGY","12%",2021-07-01
"234","DERMATOLOGY","12%",2021-07-01
