name,n,year,n2
SA ULTRASOUND,1.04,1/1/2020,104%
DENTISTRY,0.41,1/1/2020,41%
CLINICAL LABORATORIES,0.13,1/1/2020,13%
ORTHOPEDIC SURGERY,0.12,1/1/2020,12%
PHARMACY,0.10,1/1/2020,10%
LIVESTOCK,0.09,1/1/2020,9%
ONCOLOGIES,0.09,1/1/2020,9%
LA FEED & BEDDING,0.09,1/1/2020,9%
RADIOLOGY,0.09,1/1/2020,9%
BIOLOGICAL MEDIA SERVICES,0.08,1/1/2020,8%
NEURO,0.08,1/1/2020,8%
CENTRAL SERVICE,0.08,1/1/2020,8%
SA INTEGRATIVE MEDICINE,0.07,1/1/2020,7%
COMMUNITY SURGERY,0.07,1/1/2020,7%
LAM - EQUINE,0.07,1/1/2020,7%
CLIENT SERVICES,0.07,1/1/2020,7%
SMALL ANIMAL PATIENT CARE,0.06,1/1/2020,6%
PATHOLOGY,0.06,1/1/2020,6%
SA ICU,0.05,1/1/2020,5%
ANESTHESIA,0.05,1/1/2020,5%
SA SX SUPPORT,0.05,1/1/2020,5%
ADMINISTRATION OVERHEAD,0.05,1/1/2020,5%
NUTRITION,0.04,1/1/2020,4%
COMP AVIAN,0.04,1/1/2020,4%
SA MEDICINE,0.03,1/1/2020,3%
OPHTHALMOLOGY,0.03,1/1/2020,3%
SA COMMUNITY SERVICE,0.03,1/1/2020,3%
FINANCIAL SERVICES,0.03,1/1/2020,3%
PERSONNEL/PAYROLL,0.03,1/1/2020,3%
BEHAVIOR,0.02,1/1/2020,2%
SA CARDIOLOGY,0.02,1/1/2020,2%
SA SURGERY,0.02,1/1/2020,2%
HOUSE OFFICERS,0.01,1/1/2020,1%
B BARN,0.01,1/1/2020,1%
DERMATOLOGY,0.00,1/1/2020,0%
SA ULTRASOUND,1.00,2/1/2020,100%
DENTISTRY,0.43,2/1/2020,43%
LA FEED & BEDDING,0.15,2/1/2020,15%
ORTHOPEDIC SURGERY,0.13,2/1/2020,13%
BIOLOGICAL MEDIA SERVICES,0.09,2/1/2020,9%
SMALL ANIMAL PATIENT CARE,0.09,2/1/2020,9%
CLINICAL LABORATORIES,0.09,2/1/2020,9%
CLIENT SERVICES,0.09,2/1/2020,9%
SA COMMUNITY SERVICE,0.08,2/1/2020,8%
COMMUNITY SURGERY,0.08,2/1/2020,8%
LAM - EQUINE,0.08,2/1/2020,8%
RADIOLOGY,0.08,2/1/2020,8%
BEHAVIOR,0.07,2/1/2020,7%
B BARN,0.07,2/1/2020,7%
SA MEDICINE,0.06,2/1/2020,6%
ONCOLOGIES,0.06,2/1/2020,6%
CENTRAL SERVICE,0.06,2/1/2020,6%
ADMINISTRATION OVERHEAD,0.06,2/1/2020,6%
LIVESTOCK,0.05,2/1/2020,5%
ANESTHESIA,0.05,2/1/2020,5%
PATHOLOGY,0.05,2/1/2020,5%
FINANCIAL SERVICES,0.05,2/1/2020,5%
SA CARDIOLOGY,0.04,2/1/2020,4%
SA ICU,0.04,2/1/2020,4%
NEURO,0.04,2/1/2020,4%
NUTRITION,0.04,2/1/2020,4%
SA INTEGRATIVE MEDICINE,0.04,2/1/2020,4%
SA SX SUPPORT,0.04,2/1/2020,4%
SA SURGERY,0.03,2/1/2020,3%
COMP AVIAN,0.03,2/1/2020,3%
PHARMACY,0.03,2/1/2020,3%
OPHTHALMOLOGY,0.02,2/1/2020,2%
HOUSE OFFICERS,0.01,2/1/2020,1%
PERSONNEL/PAYROLL,0.00,2/1/2020,0%
DERMATOLOGY,0.00,2/1/2020,0%
SA ULTRASOUND,1.14,3/1/2020,114%
DENTISTRY,0.68,3/1/2020,68%
COMMUNITY SURGERY,0.37,3/1/2020,37%
B BARN,0.30,3/1/2020,30%
SA INTEGRATIVE MEDICINE,0.26,3/1/2020,26%
ORTHOPEDIC SURGERY,0.23,3/1/2020,23%
BIOLOGICAL MEDIA SERVICES,0.22,3/1/2020,22%
CLIENT SERVICES,0.21,3/1/2020,21%
DERMATOLOGY,0.21,3/1/2020,21%
LA FEED & BEDDING,0.20,3/1/2020,20%
SA SX SUPPORT,0.19,3/1/2020,19%
RADIOLOGY,0.19,3/1/2020,19%
SMALL ANIMAL PATIENT CARE,0.18,3/1/2020,18%
NEURO,0.17,3/1/2020,17%
OPHTHALMOLOGY,0.17,3/1/2020,17%
ANESTHESIA,0.17,3/1/2020,17%
CLINICAL LABORATORIES,0.17,3/1/2020,17%
SA CARDIOLOGY,0.16,3/1/2020,16%
LIVESTOCK,0.13,3/1/2020,13%
LAM - EQUINE,0.13,3/1/2020,13%
CENTRAL SERVICE,0.13,3/1/2020,13%
ONCOLOGIES,0.11,3/1/2020,11%
PHARMACY,0.11,3/1/2020,11%
SA MEDICINE,0.10,3/1/2020,10%
SA COMMUNITY SERVICE,0.10,3/1/2020,10%
SA SURGERY,0.10,3/1/2020,10%
SA ICU,0.07,3/1/2020,7%
COMP AVIAN,0.06,3/1/2020,6%
PATHOLOGY,0.05,3/1/2020,5%
ADMINISTRATION OVERHEAD,0.05,3/1/2020,5%
FINANCIAL SERVICES,0.03,3/1/2020,3%
BEHAVIOR,0.02,3/1/2020,2%
NUTRITION,0.02,3/1/2020,2%
PERSONNEL/PAYROLL,0.02,3/1/2020,2%
HOUSE OFFICERS,0.01,3/1/2020,1%
SA ULTRASOUND,1.05,4/1/2020,105%
DENTISTRY,0.79,4/1/2020,79%
BIOLOGICAL MEDIA SERVICES,0.53,4/1/2020,53%
SA INTEGRATIVE MEDICINE,0.52,4/1/2020,52%
B BARN,0.48,4/1/2020,48%
SA SX SUPPORT,0.46,4/1/2020,46%
CLIENT SERVICES,0.43,4/1/2020,43%
COMMUNITY SURGERY,0.42,4/1/2020,42%
ORTHOPEDIC SURGERY,0.41,4/1/2020,41%
LA FEED & BEDDING,0.41,4/1/2020,41%
CLINICAL LABORATORIES,0.40,4/1/2020,40%
CENTRAL SERVICE,0.36,4/1/2020,36%
ANESTHESIA,0.34,4/1/2020,34%
NEURO,0.33,4/1/2020,33%
DERMATOLOGY,0.28,4/1/2020,28%
SA COMMUNITY SERVICE,0.26,4/1/2020,26%
SMALL ANIMAL PATIENT CARE,0.26,4/1/2020,26%
SA CARDIOLOGY,0.25,4/1/2020,25%
OPHTHALMOLOGY,0.25,4/1/2020,25%
RADIOLOGY,0.25,4/1/2020,25%
ONCOLOGIES,0.24,4/1/2020,24%
LAM - EQUINE,0.23,4/1/2020,23%
SA MEDICINE,0.21,4/1/2020,21%
PHARMACY,0.19,4/1/2020,19%
LIVESTOCK,0.18,4/1/2020,18%
SA ICU,0.16,4/1/2020,16%
PATHOLOGY,0.16,4/1/2020,16%
COMP AVIAN,0.15,4/1/2020,15%
SA SURGERY,0.12,4/1/2020,12%
ADMINISTRATION OVERHEAD,0.12,4/1/2020,12%
FINANCIAL SERVICES,0.03,4/1/2020,3%
BEHAVIOR,0.02,4/1/2020,2%
HOUSE OFFICERS,0.01,4/1/2020,1%
NUTRITION,0.00,4/1/2020,0%
PERSONNEL/PAYROLL,0.00,4/1/2020,0%
SA ULTRASOUND,0.95,5/1/2020,95%
DENTISTRY,0.41,5/1/2020,41%
COMMUNITY SURGERY,0.29,5/1/2020,29%
LA FEED & BEDDING,0.26,5/1/2020,26%
CLINICAL LABORATORIES,0.23,5/1/2020,23%
BIOLOGICAL MEDIA SERVICES,0.21,5/1/2020,21%
NEURO,0.19,5/1/2020,19%
CLIENT SERVICES,0.18,5/1/2020,18%
CENTRAL SERVICE,0.15,5/1/2020,15%
SA MEDICINE,0.14,5/1/2020,14%
