name,n,year
SA ULTRASOUND,1.14,3/1/2020
SA ULTRASOUND,1.05,4/1/2020
SA ULTRASOUND,1.04,1/1/2020
SA ULTRASOUND,1.00,2/1/2020
SA ULTRASOUND,0.95,5/1/2020
DENTISTRY,0.79,4/1/2020
DENTISTRY,0.68,3/1/2020
BIOLOGICAL MEDIA SERVICES,0.53,4/1/2020
SA INTEGRATIVE MEDICINE,0.52,4/1/2020
DENTISTRY,0.51,6/1/2020
SA ULTRASOUND,0.50,5/1/2021
B BARN,0.48,4/1/2020
SA SX SUPPORT,0.46,4/1/2020
DENTISTRY,0.44,7/1/2020
DENTISTRY,0.43,2/1/2020
CLIENT SERVICES,0.43,4/1/2020
COMMUNITY SURGERY,0.42,4/1/2020
DENTISTRY,0.41,1/1/2020
ORTHOPEDIC SURGERY,0.41,4/1/2020
LA FEED & BEDDING,0.41,4/1/2020
DENTISTRY,0.41,5/1/2020
CLINICAL LABORATORIES,0.40,4/1/2020
BIOLOGICAL MEDIA SERVICES,0.40,12/1/2020
COMMUNITY SURGERY,0.37,3/1/2020
CENTRAL SERVICE,0.36,4/1/2020
ANESTHESIA,0.34,4/1/2020
NEURO,0.33,4/1/2020
B BARN,0.30,3/1/2020
DERMATOLOGY,0.30,9/1/2020
COMMUNITY SURGERY,0.29,5/1/2020
B BARN,0.29,6/1/2020
DERMATOLOGY,0.28,4/1/2020
COMP AVIAN,0.28,12/1/2021
BIOLOGICAL MEDIA SERVICES,0.27,8/1/2020
ORTHOPEDIC SURGERY,0.27,6/1/2021
SA INTEGRATIVE MEDICINE,0.26,3/1/2020
SA COMMUNITY SERVICE,0.26,4/1/2020
SMALL ANIMAL PATIENT CARE,0.26,4/1/2020
LA FEED & BEDDING,0.26,5/1/2020
OPHTHALMOLOGY,0.26,7/1/2021
SA CARDIOLOGY,0.25,4/1/2020
OPHTHALMOLOGY,0.25,4/1/2020
RADIOLOGY,0.25,4/1/2020
LA FEED & BEDDING,0.25,7/1/2020
ONCOLOGIES,0.24,4/1/2020
PERSONNEL/PAYROLL,0.24,12/1/2020
PERSONNEL/PAYROLL,0.24,12/1/2021
ORTHOPEDIC SURGERY,0.23,3/1/2020
LAM - EQUINE,0.23,4/1/2020
CLINICAL LABORATORIES,0.23,5/1/2020
