"","Day","Type","Value"
"1","Monday","EMERGENCY",1
"2","Monday","FMLA",0
"3","Monday","LEAVE",1
"4","Monday","SICK",1
"5","Monday","VACATION",3
"6","Tuesday","EMERGENCY",1
"7","Tuesday","FMLA",2
"8","Tuesday","LEAVE",2
"9","Tuesday","SICK",4
"10","Tuesday","VACATION",3
"11","Wednesday","EMERGENCY",1
"12","Wednesday","FMLA",4
"13","Wednesday","LEAVE",2
"14","Wednesday","SICK",3
"15","Wednesday","VACATION",1
"16","Thursday","EMERGENCY",1
"17","Thursday","FMLA",3
"18","Thursday","LEAVE",3
"19","Thursday","SICK",5
"20","Thursday","VACATION",3
"21","Friday","EMERGENCY",0
"22","Friday","FMLA",3
"23","Friday","LEAVE",1
"24","Friday","SICK",1
"25","Friday","VACATION",4
