"","Day","Type","Value"
"1","Monday","EMERGENCY",0
"2","Monday","FMLA",5
"3","Monday","LEAVE",1
"4","Monday","SICK",1
"5","Monday","VACATION",3
"6","Tuesday","EMERGENCY",0
"7","Tuesday","FMLA",5
"8","Tuesday","LEAVE",1
"9","Tuesday","SICK",2
"10","Tuesday","VACATION",6
"11","Wednesday","EMERGENCY",0
"12","Wednesday","FMLA",2
"13","Wednesday","LEAVE",2
"14","Wednesday","SICK",3
"15","Wednesday","VACATION",4
"16","Thursday","EMERGENCY",0
"17","Thursday","FMLA",1
"18","Thursday","LEAVE",2
"19","Thursday","SICK",2
"20","Thursday","VACATION",8
"21","Friday","EMERGENCY",0
"22","Friday","FMLA",4
"23","Friday","LEAVE",0
"24","Friday","SICK",3
"25","Friday","VACATION",7
