"","Day","Type","Value"
"1","Monday","EMERGENCY",0
"2","Monday","FMLA",1
"3","Monday","LEAVE",0
"4","Monday","SICK",2
"5","Monday","VACATION",8
"6","Tuesday","EMERGENCY",1
"7","Tuesday","FMLA",2
"8","Tuesday","LEAVE",0
"9","Tuesday","SICK",1
"10","Tuesday","VACATION",8
"11","Wednesday","EMERGENCY",4
"12","Wednesday","FMLA",2
"13","Wednesday","LEAVE",0
"14","Wednesday","SICK",2
"15","Wednesday","VACATION",9
"16","Thursday","EMERGENCY",3
"17","Thursday","FMLA",1
"18","Thursday","LEAVE",0
"19","Thursday","SICK",4
"20","Thursday","VACATION",8
"21","Friday","EMERGENCY",3
"22","Friday","FMLA",0
"23","Friday","LEAVE",1
"24","Friday","SICK",2
"25","Friday","VACATION",11
