"","Day","Type","Value"
"1","Monday","EMERGENCY",0
"2","Monday","FMLA",2
"3","Monday","LEAVE",3
"4","Monday","SICK",2
"5","Monday","VACATION",9
"6","Tuesday","EMERGENCY",0
"7","Tuesday","FMLA",2
"8","Tuesday","LEAVE",3
"9","Tuesday","SICK",0
"10","Tuesday","VACATION",5
"11","Wednesday","EMERGENCY",0
"12","Wednesday","FMLA",2
"13","Wednesday","LEAVE",3
"14","Wednesday","SICK",6
"15","Wednesday","VACATION",2
"16","Thursday","EMERGENCY",0
"17","Thursday","FMLA",1
"18","Thursday","LEAVE",3
"19","Thursday","SICK",4
"20","Thursday","VACATION",5
"21","Friday","EMERGENCY",0
"22","Friday","FMLA",2
"23","Friday","LEAVE",4
"24","Friday","SICK",3
"25","Friday","VACATION",11
