"","Day","Type","Value"
"1","Monday","EMERGENCY",1
"2","Monday","FMLA",0
"3","Monday","LEAVE",0
"4","Monday","SICK",1
"5","Monday","VACATION",3
"6","Tuesday","EMERGENCY",2
"7","Tuesday","FMLA",0
"8","Tuesday","LEAVE",0
"9","Tuesday","SICK",0
"10","Tuesday","VACATION",3
"11","Wednesday","EMERGENCY",2
"12","Wednesday","FMLA",0
"13","Wednesday","LEAVE",0
"14","Wednesday","SICK",0
"15","Wednesday","VACATION",4
"16","Thursday","EMERGENCY",2
"17","Thursday","FMLA",1
"18","Thursday","LEAVE",0
"19","Thursday","SICK",0
"20","Thursday","VACATION",5
"21","Friday","EMERGENCY",2
"22","Friday","FMLA",1
"23","Friday","LEAVE",0
"24","Friday","SICK",0
"25","Friday","VACATION",7
