"","Day","Type","Value"
"1","Monday","EMERGENCY",4
"2","Monday","FMLA",0
"3","Monday","LEAVE",0
"4","Monday","SICK",3
"5","Monday","VACATION",12
"6","Tuesday","EMERGENCY",6
"7","Tuesday","FMLA",2
"8","Tuesday","LEAVE",5
"9","Tuesday","SICK",7
"10","Tuesday","VACATION",12
"11","Wednesday","EMERGENCY",5
"12","Wednesday","FMLA",0
"13","Wednesday","LEAVE",5
"14","Wednesday","SICK",3
"15","Wednesday","VACATION",6
"16","Thursday","EMERGENCY",4
"17","Thursday","FMLA",0
"18","Thursday","LEAVE",6
"19","Thursday","SICK",4
"20","Thursday","VACATION",11
"21","Friday","EMERGENCY",2
"22","Friday","FMLA",0
"23","Friday","LEAVE",7
"24","Friday","SICK",6
"25","Friday","VACATION",9
