"","Day","Type","Value"
"1","Monday","EMERGENCY",0
"2","Monday","FMLA",0
"3","Monday","LEAVE",3
"4","Monday","SICK",6
"5","Monday","VACATION",10
"6","Tuesday","EMERGENCY",1
"7","Tuesday","FMLA",0
"8","Tuesday","LEAVE",11
"9","Tuesday","SICK",6
"10","Tuesday","VACATION",10
"11","Wednesday","EMERGENCY",0
"12","Wednesday","FMLA",1
"13","Wednesday","LEAVE",9
"14","Wednesday","SICK",5
"15","Wednesday","VACATION",10
"16","Thursday","EMERGENCY",0
"17","Thursday","FMLA",0
"18","Thursday","LEAVE",13
"19","Thursday","SICK",6
"20","Thursday","VACATION",9
"21","Friday","EMERGENCY",0
"22","Friday","FMLA",0
"23","Friday","LEAVE",12
"24","Friday","SICK",8
"25","Friday","VACATION",17
