"","Day","Type","Value"
"1","Monday","EMERGENCY",0
"2","Monday","FMLA",0
"3","Monday","LEAVE",1
"4","Monday","SICK",0
"5","Monday","VACATION",7
"6","Tuesday","EMERGENCY",0
"7","Tuesday","FMLA",0
"8","Tuesday","LEAVE",2
"9","Tuesday","SICK",4
"10","Tuesday","VACATION",8
"11","Wednesday","EMERGENCY",0
"12","Wednesday","FMLA",0
"13","Wednesday","LEAVE",1
"14","Wednesday","SICK",6
"15","Wednesday","VACATION",8
"16","Thursday","EMERGENCY",1
"17","Thursday","FMLA",0
"18","Thursday","LEAVE",1
"19","Thursday","SICK",1
"20","Thursday","VACATION",9
"21","Friday","EMERGENCY",0
"22","Friday","FMLA",0
"23","Friday","LEAVE",0
"24","Friday","SICK",2
"25","Friday","VACATION",5
