"","Day","Type","Value"
"1","Monday","EMERGENCY",0
"2","Monday","FMLA",1
"3","Monday","LEAVE",5
"4","Monday","SICK",0
"5","Monday","VACATION",0
"6","Tuesday","EMERGENCY",0
"7","Tuesday","FMLA",1
"8","Tuesday","LEAVE",5
"9","Tuesday","SICK",1
"10","Tuesday","VACATION",1
"11","Wednesday","EMERGENCY",0
"12","Wednesday","FMLA",1
"13","Wednesday","LEAVE",4
"14","Wednesday","SICK",0
"15","Wednesday","VACATION",0
"16","Thursday","EMERGENCY",0
"17","Thursday","FMLA",1
"18","Thursday","LEAVE",4
"19","Thursday","SICK",1
"20","Thursday","VACATION",0
"21","Friday","EMERGENCY",0
"22","Friday","FMLA",2
"23","Friday","LEAVE",2
"24","Friday","SICK",1
"25","Friday","VACATION",0
