"","Day","Type","Value"
"1","Monday","EMERGENCY",1
"2","Monday","FMLA",0
"3","Monday","LEAVE",0
"4","Monday","SICK",0
"5","Monday","VACATION",4
"6","Tuesday","EMERGENCY",1
"7","Tuesday","FMLA",1
"8","Tuesday","LEAVE",0
"9","Tuesday","SICK",1
"10","Tuesday","VACATION",4
"11","Wednesday","EMERGENCY",1
"12","Wednesday","FMLA",1
"13","Wednesday","LEAVE",1
"14","Wednesday","SICK",1
"15","Wednesday","VACATION",4
"16","Thursday","EMERGENCY",0
"17","Thursday","FMLA",0
"18","Thursday","LEAVE",1
"19","Thursday","SICK",2
"20","Thursday","VACATION",5
"21","Friday","EMERGENCY",0
"22","Friday","FMLA",0
"23","Friday","LEAVE",0
"24","Friday","SICK",0
"25","Friday","VACATION",1
