"","Day","Type","Value"
"1","Monday","EMERGENCY",2
"2","Monday","FMLA",0
"3","Monday","LEAVE",0
"4","Monday","SICK",1
"5","Monday","VACATION",3
"6","Tuesday","EMERGENCY",1
"7","Tuesday","FMLA",0
"8","Tuesday","LEAVE",0
"9","Tuesday","SICK",1
"10","Tuesday","VACATION",1
"11","Wednesday","EMERGENCY",1
"12","Wednesday","FMLA",0
"13","Wednesday","LEAVE",0
"14","Wednesday","SICK",0
"15","Wednesday","VACATION",1
"16","Thursday","EMERGENCY",2
"17","Thursday","FMLA",0
"18","Thursday","LEAVE",1
"19","Thursday","SICK",0
"20","Thursday","VACATION",1
"21","Friday","EMERGENCY",2
"22","Friday","FMLA",0
"23","Friday","LEAVE",1
"24","Friday","SICK",0
"25","Friday","VACATION",2
