"","Day","Type","Value"
"1","Monday","EMERGENCY",3
"2","Monday","FMLA",2
"3","Monday","LEAVE",0
"4","Monday","SICK",3
"5","Monday","VACATION",1
"6","Tuesday","EMERGENCY",7
"7","Tuesday","FMLA",4
"8","Tuesday","LEAVE",0
"9","Tuesday","SICK",3
"10","Tuesday","VACATION",2
"11","Wednesday","EMERGENCY",6
"12","Wednesday","FMLA",3
"13","Wednesday","LEAVE",0
"14","Wednesday","SICK",2
"15","Wednesday","VACATION",3
"16","Thursday","EMERGENCY",7
"17","Thursday","FMLA",4
"18","Thursday","LEAVE",1
"19","Thursday","SICK",1
"20","Thursday","VACATION",2
"21","Friday","EMERGENCY",7
"22","Friday","FMLA",3
"23","Friday","LEAVE",2
"24","Friday","SICK",0
"25","Friday","VACATION",5
