"","Day","Type","Value"
"1","Monday","EMERGENCY",0
"2","Monday","FMLA",3
"3","Monday","LEAVE",0
"4","Monday","SICK",4
"5","Monday","VACATION",0
"6","Tuesday","EMERGENCY",1
"7","Tuesday","FMLA",2
"8","Tuesday","LEAVE",0
"9","Tuesday","SICK",2
"10","Tuesday","VACATION",1
"11","Wednesday","EMERGENCY",0
"12","Wednesday","FMLA",2
"13","Wednesday","LEAVE",0
"14","Wednesday","SICK",2
"15","Wednesday","VACATION",1
"16","Thursday","EMERGENCY",0
"17","Thursday","FMLA",1
"18","Thursday","LEAVE",0
"19","Thursday","SICK",2
"20","Thursday","VACATION",1
"21","Friday","EMERGENCY",0
"22","Friday","FMLA",1
"23","Friday","LEAVE",0
"24","Friday","SICK",1
"25","Friday","VACATION",0
