"","Day","Type","Value"
"1","Monday","EMERGENCY",5
"2","Monday","FMLA",0
"3","Monday","LEAVE",0
"4","Monday","SICK",2
"5","Monday","VACATION",4
"6","Tuesday","EMERGENCY",8
"7","Tuesday","FMLA",0
"8","Tuesday","LEAVE",0
"9","Tuesday","SICK",2
"10","Tuesday","VACATION",1
"11","Wednesday","EMERGENCY",8
"12","Wednesday","FMLA",0
"13","Wednesday","LEAVE",0
"14","Wednesday","SICK",0
"15","Wednesday","VACATION",1
"16","Thursday","EMERGENCY",5
"17","Thursday","FMLA",0
"18","Thursday","LEAVE",0
"19","Thursday","SICK",1
"20","Thursday","VACATION",3
"21","Friday","EMERGENCY",4
"22","Friday","FMLA",0
"23","Friday","LEAVE",0
"24","Friday","SICK",1
"25","Friday","VACATION",1
