"","Day","Type","Value"
"1","Monday","EMERGENCY",0
"2","Monday","FMLA",6
"3","Monday","LEAVE",1
"4","Monday","SICK",1
"5","Monday","VACATION",2
"6","Tuesday","EMERGENCY",0
"7","Tuesday","FMLA",6
"8","Tuesday","LEAVE",1
"9","Tuesday","SICK",0
"10","Tuesday","VACATION",1
"11","Wednesday","EMERGENCY",0
"12","Wednesday","FMLA",6
"13","Wednesday","LEAVE",1
"14","Wednesday","SICK",1
"15","Wednesday","VACATION",0
"16","Thursday","EMERGENCY",0
"17","Thursday","FMLA",6
"18","Thursday","LEAVE",2
"19","Thursday","SICK",0
"20","Thursday","VACATION",0
"21","Friday","EMERGENCY",1
"22","Friday","FMLA",3
"23","Friday","LEAVE",1
"24","Friday","SICK",0
"25","Friday","VACATION",0
