"","Day","Type","Value"
"1","Monday","EMERGENCY",0
"2","Monday","FMLA",2
"3","Monday","LEAVE",3
"4","Monday","SICK",3
"5","Monday","VACATION",1
"6","Tuesday","EMERGENCY",0
"7","Tuesday","FMLA",0
"8","Tuesday","LEAVE",7
"9","Tuesday","SICK",10
"10","Tuesday","VACATION",4
"11","Wednesday","EMERGENCY",0
"12","Wednesday","FMLA",0
"13","Wednesday","LEAVE",6
"14","Wednesday","SICK",6
"15","Wednesday","VACATION",4
"16","Thursday","EMERGENCY",0
"17","Thursday","FMLA",0
"18","Thursday","LEAVE",6
"19","Thursday","SICK",3
"20","Thursday","VACATION",3
"21","Friday","EMERGENCY",0
"22","Friday","FMLA",1
"23","Friday","LEAVE",4
"24","Friday","SICK",4
"25","Friday","VACATION",5
