"","Day","Type","Value"
"1","Monday","EMERGENCY",1
"2","Monday","FMLA",2
"3","Monday","LEAVE",10
"4","Monday","SICK",6
"5","Monday","VACATION",10
"6","Tuesday","EMERGENCY",2
"7","Tuesday","FMLA",7
"8","Tuesday","LEAVE",7
"9","Tuesday","SICK",5
"10","Tuesday","VACATION",12
"11","Wednesday","EMERGENCY",3
"12","Wednesday","FMLA",6
"13","Wednesday","LEAVE",10
"14","Wednesday","SICK",10
"15","Wednesday","VACATION",9
"16","Thursday","EMERGENCY",1
"17","Thursday","FMLA",5
"18","Thursday","LEAVE",9
"19","Thursday","SICK",6
"20","Thursday","VACATION",6
"21","Friday","EMERGENCY",1
"22","Friday","FMLA",5
"23","Friday","LEAVE",10
"24","Friday","SICK",7
"25","Friday","VACATION",17
