"","Day","Type","Value"
"1","Monday","EMERGENCY",0
"2","Monday","FMLA",0
"3","Monday","LEAVE",11
"4","Monday","SICK",8
"5","Monday","VACATION",2
"6","Tuesday","EMERGENCY",0
"7","Tuesday","FMLA",1
"8","Tuesday","LEAVE",11
"9","Tuesday","SICK",9
"10","Tuesday","VACATION",6
"11","Wednesday","EMERGENCY",0
"12","Wednesday","FMLA",1
"13","Wednesday","LEAVE",15
"14","Wednesday","SICK",10
"15","Wednesday","VACATION",13
"16","Thursday","EMERGENCY",0
"17","Thursday","FMLA",3
"18","Thursday","LEAVE",15
"19","Thursday","SICK",4
"20","Thursday","VACATION",16
"21","Friday","EMERGENCY",0
"22","Friday","FMLA",0
"23","Friday","LEAVE",8
"24","Friday","SICK",5
"25","Friday","VACATION",10
