"","Day","Type","Value"
"1","Monday","EMERGENCY",3
"2","Monday","FMLA",12
"3","Monday","LEAVE",23
"4","Monday","SICK",44
"5","Monday","VACATION",85
"6","Tuesday","EMERGENCY",6
"7","Tuesday","FMLA",15
"8","Tuesday","LEAVE",23
"9","Tuesday","SICK",55
"10","Tuesday","VACATION",73
"11","Wednesday","EMERGENCY",6
"12","Wednesday","FMLA",7
"13","Wednesday","LEAVE",24
"14","Wednesday","SICK",41
"15","Wednesday","VACATION",77
"16","Thursday","EMERGENCY",4
"17","Thursday","FMLA",11
"18","Thursday","LEAVE",23
"19","Thursday","SICK",58
"20","Thursday","VACATION",82
"21","Friday","EMERGENCY",5
"22","Friday","FMLA",4
"23","Friday","LEAVE",25
"24","Friday","SICK",50
"25","Friday","VACATION",91
